throughput	time
77585.6	2019-08-28T18:03:10.000Z
72420.267	2019-08-28T18:03:40.000Z
78231.833	2019-08-28T18:04:10.000Z
72555.167	2019-08-28T18:04:40.000Z
79893.1	2019-08-28T18:05:10.000Z
79283.033	2019-08-28T18:05:40.000Z
102457.9	2019-08-28T18:06:10.000Z
102687.733	2019-08-28T18:06:40.000Z
79575.333	2019-08-28T18:07:10.000Z
80302.2	2019-08-28T18:07:40.000Z
84225.933	2019-08-28T18:08:10.000Z
83813.533	2019-08-28T18:08:40.000Z
77869.7	2019-08-28T18:09:10.000Z
82374.8	2019-08-28T18:09:40.000Z
80985.9	2019-08-28T18:10:10.000Z
77749.467	2019-08-28T18:10:40.000Z
81880.067	2019-08-28T18:11:10.000Z
73398.134	2019-08-28T18:11:40.000Z
88779.167	2019-08-28T18:12:10.000Z
89705.3	2019-08-28T18:12:40.000Z
83278.333	2019-08-28T18:13:10.000Z
70797.633	2019-08-28T18:13:40.000Z
92121.3	2019-08-28T18:14:10.000Z
76858.8	2019-08-28T18:14:40.000Z
76221.533	2019-08-28T18:15:10.000Z
76146.866	2019-08-28T18:15:40.000Z
89186.3	2019-08-28T18:16:10.000Z
91298.067	2019-08-28T18:16:40.000Z
81358.3	2019-08-28T18:17:10.000Z
94118.2	2019-08-28T18:17:40.000Z
91725.234	2019-08-28T18:18:10.000Z
69422.967	2019-08-28T18:18:40.000Z
71038.267	2019-08-28T18:19:10.000Z
71345.433	2019-08-28T18:19:40.000Z
61764.234	2019-08-28T18:20:10.000Z
65711.167	2019-08-28T18:20:40.000Z
71146.934	2019-08-28T18:21:10.000Z
71240.767	2019-08-28T18:21:40.000Z
73009.966	2019-08-28T18:22:10.000Z
75329.8	2019-08-28T18:22:40.000Z
82105.5	2019-08-28T18:23:10.000Z
64448.4	2019-08-28T18:23:40.000Z
74305.934	2019-08-28T18:24:10.000Z
71398.366	2019-08-28T18:24:40.000Z
62769.534	2019-08-28T18:25:10.000Z
63158.566	2019-08-28T18:25:40.000Z
62824.333	2019-08-28T18:26:10.000Z
73659.233	2019-08-28T18:26:40.000Z
66674.233	2019-08-28T18:27:10.000Z
72261.866	2019-08-28T18:27:40.000Z
67156.767	2019-08-28T18:28:10.000Z
